足洗,137.1743995,36.7588427,富山県富山市四方一番町
足洗西口,137.170245,36.75963422,富山県射水市本江三箇
老人福祉センター,137.491847,36.93147194,富山県下新川郡入善町上野
練合東口,137.1641328,36.76061533,富山県射水市本江針山
練合,137.160408,36.76040044,富山県射水市海老江練合
槍ケ崎口,137.1567672,36.76139003,富山県射水市海老江練合
海老江口,137.151261,36.76384873,富山県射水市海老江
海老江,137.1480233,36.76506645,富山県射水市海老江
西海老江,137.1445709,36.76603477,富山県射水市海老江
浜開,137.1380221,36.76819523,富山県射水市浜開新町
射北中学校前,137.1354735,36.76875748,富山県射水市堀岡古明神
古明神,137.1285167,36.77000031,富山県射水市堀岡古明神
堀岡局前,137.1246548,36.77165542,富山県射水市堀岡
堀岡中町,137.1221287,36.77251568,富山県射水市堀岡明神新
新港東口,137.1187591,36.77333441,富山県射水市堀岡明神新
田町（四方）,137.1960958,36.75666057,富山県富山市四方野割町
四方町,137.1956334,36.75841134,富山県富山市
四方神明町,137.194258,36.75782745,富山県富山市四方田町
北代新,137.1861328,36.71845587,富山県富山市北代新
長岡公民館前,137.1899711,36.71706297,富山県富山市長岡
市営基地前,137.192411,36.71549829,富山県富山市八町東
御廟口,137.1961593,36.71487376,富山県富山市石坂
石坂,137.1992901,36.7103854,富山県富山市田刈屋
田刈屋,137.2003138,36.7092902,富山県富山市四方荒屋
田刈屋南口,137.1981561,36.7052264,富山県富山市田刈屋
畑中,137.1984238,36.70328308,富山県富山市畑中
神通町,137.207393,36.69986722,富山県富山市神通本町二丁目
新富町,137.2108667,36.69866137,富山県富山市新富町二丁目
五福小学校前,137.1833609,36.69900728,富山県富山市五福
西富山,137.1780791,36.69776261,富山県富山市寺町
寺町,137.1759107,36.69688528,富山県富山市茶屋町
金屋口,137.1689186,36.692933,富山県富山市金屋
金屋（富大附病）,137.1664256,36.69125389,富山県富山市金屋
新安田,137.1583734,36.68273085,富山県富山市婦中町安田
安田,137.1565206,36.68082475,富山県富山市吉作
小泉口,137.1528391,36.67696208,富山県富山市吉作
朝日（富大附病）,137.1506577,36.6747997,富山県富山市婦中町下条
友坂,137.1459808,36.67719556,富山県富山市婦中町友坂
附属病院南口,137.139981,36.67766629,富山県富山市婦中町友坂
富山大学附属病院,137.1410187,36.68062161,富山県富山市願海寺
杉谷口,137.1433047,36.68583109,富山県富山市古沢
古沢南部,137.1442023,36.68806563,富山県富山市古沢
ファミリーパーク,137.1476553,36.69080454,富山県富山市本郷中部
城址公園前,137.2127359,36.69332943,富山県富山市興人町
越前町,137.2102043,36.68908773,富山県富山市越前町
旅篭町,137.2087558,36.68833687,富山県富山市西山王町
相生町,137.2084774,36.68650817,富山県富山市千石町二丁目
検察庁前,137.2081262,36.6840497,富山県富山市千石町六丁目
西田地方二丁目,137.207806,36.68133797,富山県富山市西田地方町二丁目
西田地方,137.2070479,36.67926688,富山県富山市新根塚町三丁目
新根塚,137.2035193,36.67937165,富山県富山市新根塚町二丁目
新布瀬,137.1994031,36.67953129,富山県富山市布瀬本町
有沢,137.1924519,36.6796183,富山県富山市布瀬町南一丁目
神明（速星山田）,137.1888833,36.67699893,富山県富山市羽根
